word,onomatopoeia,notes,,
,,,,
humor,,,,
,,,,
pleading,,,,
,,,,
whoosh,1,1,,
,,,,
flute,,,,
,,,,
babble,2,2,,
,,,,
sigh,1,1,,
,,,,
harpsichord,,,,
,,,,
drip,1,1,,
,,,,
rattle,1,1,,
,,,,
spoken,,,,
,,,,
church,,,,
,,,,
announcer,,,,
,,,,
chant,2,2,,
,,,,
ding,1,1,,
,,,,
sound,,,,
,,,,
screeching,2,2,,
,,,,
bellow,2,2,,
,,,,
silence,,,,
,,,,
silent,,,,
,,,,
storm,,,,
,,,,
sitcom,,,,
,,,,
shrill,1,1,,
,,,,
disturbance,,,,
,,,,
cartoon,,,,
,,,,
greeting,,,,
,,,,
instrumental,,,,
,,,,
fiddle,,,,
,,,,
dogs,,,,
,,,,
thunderclap,2,2,,
,,,,
groan,1,1,,
,,,,
click,1,1,,
,,,,
woman,,,,
,,,,
doorbell,,,,
,,,,
reggae,,,,
,,,,
rustling,2,2,,
,,,,
ticking,2,2,,
,,,,
quiet,,,,
,,,,
lesson,,,,
,,,,
gunshot,,,,
,,,,
parade,,,,
,,,,
hiss,1,1,,
,,,,
noise,,,,
,,,,
clarinet,,,,
,,,,
cheers,1,1,,
,,,,
horn,,,,
,,,,
shush,1,1,,
,,,,
ringing,,,,
,,,,
request,,,,
,,,,
roar,1,1,,
,,,,
jet,,,,
,,,,
speaking,,,,
,,,,
howl,1,1,,
,,,,
chorus,,,,
,,,,
rattlesnake,,,,
,,,,
windy,,,,
,,,,
bark,1,1,,
,,,,
cheering,2,2,,
,,,,
drummer,,,,
,,,,
firecracker,,,,
,,,,
auditory,,,,
,,,,
wail,1,1,,
,,,,
automotive,,,,
,,,,
amen,1,1,,
,,,,
movie,,,,
,,,,
rude,,,,
,,,,
refusal,,,,
,,,,
gun,,,,
,,,,
laughter,2,2,,
,,,,
loudly,,,,
,,,,
pop,1,1,,
,,,,
tune,,,,
,,,,
laugh,2,2,,
,,,,
woodpecker,,,,
,,,,
quack,1,1,,
,,,,
cinema,,,,
,,,,
creaking,2,2,,
,,,,
umpire,,,,
,,,,
audio,,,,
,,,,
man,,,,
,,,,
giggle,1,1,,
,,,,
cassette,,,,
,,,,
shattering,2,2,,
,,,,
muffled,,,,
,,,,
boom,1,1,,
,,,,
voice,,,,
,,,,
thunder,2,2,,
,,,,
knocking,2,2,,
,,,,
lie,,,,
,,,,
sighing,2,2,,
,,,,
piano,,,,
,,,,
message,,,,
,,,,
swear,,,,
,,,,
clap,1,1,,
,,,,
slam,2,2,,
,,,,
answer,,,,
,,,,
word,,,,
,,,,
meow,1,1,,
,,,,
yapping,2,2,,
,,,,
chime,1,1,,
,,,,
stutter,2,2,,
,,,,
giggling,2,2,,
,,,,
multimedia,,,,
,,,,
sneeze,2,2,,3
,,,,
monologue,,,,
,,,,
rap,,,,
,,,,
hound,,,,
,,,,
yell,,,,
,,,,
sport,,,,
,,,,
speech,,,,
,,,,
owl,,,,
,,,,
phrase,,,,
,,,,
circus,,,,
,,,,
whistle,2,2,,
,,,,
shooting,,,,
,,,,
thud,1,1,,
,,,,
squeaky,,,,
,,,,
ad,,,,
,,,,
excitement,,,,
,,,,
mumble,2,2,,
,,,,
dog,,,,
,,,,
chatter,2,2,,
,,,,
rumbling,2,2,,
,,,,
notification,,,,
,,,,
choral,,,,
,,,,
someone,,,,
,,,,
talking,,,,
,,,,
ocean,,,,
,,,,
orchestra,,,,
,,,,
television,,,,
,,,,
recording,,,,
,,,,
growl,1,1,,
,,,,
hush,2,2,,
,,,,
tale,,,,
,,,,
snap,2,2,,
,,,,
footsteps,,,,
,,,,
saying,,,,
,,,,
melodic,,,,
,,,,
phone,,,,
,,,,
funny,,,,
,,,,
men,,,,
,,,,
knock,1,1,,
,,,,
poem,,,,
,,,,
thunderstorm,,,,
,,,,
mower,,,,
,,,,
story,,,,
,,,,
hammering,2,2,,
,,,,
bird,,,,
,,,,
cuss,,,,
,,,,
outside,,,,
,,,,
monotone,,,,
,,,,
command,,,,
,,,,
concert,,,,
,,,,
destruction,,,,
,,,,
amplification,,,,
,,,,
trumpet,,,,
,,,,
applause,2,2,,
,,,,
gurgle,1,1,,
,,,,
politics,,,,
,,,,
flatulence,,,,
,,,,
laughing,2,2,,
,,,,
language,,,,
,,,,
tenor,,,,
,,,,
buzz,1,1,,
,,,,
siren,,,,
,,,,
humming,2,2,,
,,,,
macaw,,,,
,,,,
hearing,,,,
,,,,
moan,1,1,,2
,,,,
decree,,,,
,,,,
whisper,2,2,,
,,,,
ridicule,,,,
,,,,
sarcasm,,,,
,,,,
festive,,,,
,,,,
announcement,,,,
,,,,
violin,,,,
,,,,
recital,,,,
,,,,
broadcast,,,,
,,,,
city,,,,
,,,,
listen,,,,
,,,,
coach,,,,
,,,,
mock,,,,
,,,,
saxophone,,,,
,,,,
pager,,,,
,,,,
son,,,,
,,,,
cowbell,,,,
,,,,
goodbye,,,,
,,,,
shout,2,2,,3
,,,,
buzzer,,,,
,,,,
song,,,,
,,,,
people,,,,
,,,,
chord,,,,
,,,,
techno,,,,
,,,,
profanity,,,,
,,,,
announce,,,,
,,,,
snore,1,1,,
,,,,
dialogue,,,,
,,,,
rattling,2,2,,
,,,,
female,,,,
,,,,
interview,,,,
,,,,
beeper,,,,
,,,,
joke,,,,
,,,,
nonsense,,,,
,,,,
guitar,,,,
,,,,
bell,,,,
,,,,
baritone,,,,
,,,,
sing,,,,
,,,,
crying,2,2,,
,,,,
percussion,,,,
,,,,
actor,,,,
,,,,
bang,1,1,,
,,,,
screaming,2,2,,
,,,,
liar,,,,
,,,,
argument,,,,
,,,,
beat,2,2,,
,,,,
cannon,,,,
,,,,
muttering,2,2,,
,,,,
symphony,,,,
,,,,
alarm,,,,
,,,,
harmonica,,,,
,,,,
me,,,,
,,,,
automobile,,,,
,,,,
tuning,2,2,,
,,,,
howling,2,2,,
,,,,
singing,2,2,,
,,,,
beg,,,,
,,,,
mantra,,,,
,,,,
explosion,,,,
,,,,
expletive,,,,
,,,,
insult,,,,
,,,,
creaky,,,,
,,,,
party,,,,
,,,,
sarcastic,,,,
,,,,
cellphone,,,,
,,,,
gasp,1,1,,
,,,,
creature,,,,
,,,,
percussive,,,,
,,,,
crowd,,,,
,,,,
album,,,,
,,,,
question,,,,
,,,,
gunfire,,,,
,,,,
speak,,,,
,,,,
choir,,,,
,,,,
foghorn,,,,
,,,,
sob,1,1,,2
,,,,
talk,,,,
,,,,
seashore,,,,
,,,,
cheer,1,1,,
,,,,
band,,,,
,,,,
no,,,,
,,,,
unintelligible,,,,
,,,,
mama,,,,
,,,,
comedy,,,,
,,,,
fireworks,,,,
,,,,
hum,1,1,,
,,,,
poetry,,,,
,,,,
whispering,2,2,,
,,,,
communicate,,,,
,,,,
creek,1,1,,
,,,,
harmonious,,,,
,,,,
humorous,,,,
,,,,
squawk,1,1,,
,,,,
rhythmic,,,,
,,,,
noisy,,,,
,,,,
newsflash,,,,
,,,,
lion,,,,
,,,,
slurp,1,1,,
,,,,
whistling,2,2,,
,,,,
burp,1,1,,
,,,,
gargle,1,1,,
,,,,
tuba,,,,
,,,,
apology,,,,
,,,,
chaos,,,,
,,,,
rainy,,,,
,,,,
viola,,,,
,,,,
explode,,,,
,,,,
moaning,2,2,,
,,,,
soprano,,,,
,,,,
amplifier,,,,
,,,,
clunk,1,1,,
,,,,
bleating,,,,
,,,,
booming,2,2,,
,,,,
arcade,,,,
,,,,
recorder,,,,
,,,,
information,,,,
,,,,
acoustic,,,,
,,,,
grunt,1,1,,
,,,,
cluck,1,1,,
,,,,
musical,,,,
,,,,
real,,,,
,,,,
whir,1,1,,
,,,,
typewriter,,,,
,,,,
loud,,,,
,,,,
intercom,,,,
,,,,
drill,,,,
,,,,
yes,,,,
,,,,
reverberation,,,,
,,,,
donkey,,,,
,,,,
seagull,,,,
,,,,
tinkle,2,2,,
,,,,
silly,,,,
,,,,
insect,,,,
,,,,
opera,,,,
,,,,
harp,,,,
,,,,
cough,2,2,,
,,,,
growling,2,2,,
,,,,
bass,,,,
,,,,
mandolin,,,,
,,,,
ambulance,,,,
,,,,
person,,,,
,,,,
barking,2,2,,
,,,,
drum,,,,
,,,,
vocal,,,,
,,,,
children,,,,
,,,,
roaring,2,2,,
,,,,
snoring,2,2,,
,,,,
thudding,2,2,,
,,,,
outdoor,,,,
,,,,
cooing,2,2,,
,,,,
echo,1,1,,
,,,,
frog,,,,
,,,,
canary,,,,
,,,,
bees,,,,
,,,,
singer,,,,
,,,,
accent,,,,
,,,,
tapping,2,2,,
,,,,
harmonic,,,,
,,,,
sizzle,1,1,,
,,,,
communication,,,,
,,,,
cry,,,,
,,,,
rhythm,,,,
,,,,
duet,,,,
,,,,
telephone,,,,
,,,,
baby,,,,
,,,,
human,,,,
,,,,
mean,,,,
,,,,
helicopter,,,,
,,,,
cymbal,,,,
,,,,
report,,,,
,,,,
call,,,,
,,,,
response,,,,
,,,,
rooster,,,,
,,,,
gasping,2,2,,
,,,,
beep,,,,
,,,,
warn,,,,
,,,,
news,,,,
,,,,
cracking,2,2,,
,,,,
feedback,,,,
,,,,
cello,,,,
,,,,
conversation,,,,
,,,,
sobbing,2,2,,
,,,,
polite,,,,
,,,,
plead,,,,
,,,,
train,,,,
,,,,
instrument,,,,
,,,,
jingling,2,2,,
,,,,
tone,,,,
,,,,
stereo,,,,
,,,,
audience,,,,
,,,,
drilling,2,2,,
,,,,
presentation,,,,
,,,,
chat,,,,
,,,,
chuckle,2,2,,
,,,,
music,,,,
,,,,
disco,,,,
,,,,
crunch,1,1,,
,,,,
radio,,,,
,,,,
soundtrack,,,,
,,,,
motor,,,,
,,,,
whine,,,,
,,,,
fighting,,,,
,,,,
argue,,,,
,,,,
media,,,,
,,,,
advertisement,,,,
,,,,
engine,,,,
