w,iconicity_speechVGG,iconicity_VGGish,iconicity_mean
goodbye,0.6227140297689,0.700715899467468,0.661714964618184
drip,0.459921244535103,0.632722973823547,0.546322109179325
yes,0.4577460756137,0.740925669670105,0.599335872641903
click,0.42476799014342,0.70935469865799,0.567061344400705
pop,0.424372190189155,0.605330228805542,0.514851209497348
thud,0.369656489214187,0.583505034446716,0.476580761830452
monotone,0.351464905260654,0.651143670082092,0.501304287671373
clunk,0.337654130458811,0.615090906620026,0.476372518539418
meow,0.316837528232716,0.61052018404007,0.463678856136393
sarcasm,0.301658399665436,0.502707421779633,0.402182910722534
unintelligible,0.272055879572253,0.644236266613007,0.45814607309263
frog,0.243030510821011,0.647706210613251,0.445368360717131
listen,0.23651049950032,0.5884148478508,0.41246267367556
dialogue,0.236194167552063,0.662019431591034,0.449106799571548
quack,0.20261314095708,0.631553649902344,0.417083395429712
whoosh,0.194734352460476,0.607559084892273,0.401146718676374
soundtrack,0.192522821865948,0.144598096609116,0.168560459237532
booming,0.185045617515076,0.457568824291229,0.321307220903153
communication,0.163605213976074,0.434967190027237,0.299286202001655
bang,0.163559637478343,0.666905701160431,0.415232669319387
saying,0.156041773125796,0.594549536705017,0.375295654915407
whistle,0.144598269938728,0.540088713169098,0.342343491553913
clap,0.141640317816315,0.321763753890991,0.231702035853653
techno,0.139693634919175,0.351287394762039,0.245490514840607
giggling,0.139240315283551,0.422435015439987,0.280837665361769
baritone,0.133987971241491,0.808593332767487,0.471290652004489
monologue,0.133937350986131,0.749085485935211,0.441511418460671
speech,0.13152371486541,0.750613272190094,0.441068493527752
recital,0.127638492304202,0.586455643177033,0.357047067740617
rainy,0.120264656874337,0.38422566652298,0.252245161698659
swear,0.120221313987667,0.733501613140106,0.426861463563886
apology,0.11872331373714,0.689447581768036,0.404085447752588
spoken,0.117936264429041,0.640593945980072,0.379265105204557
squawk,0.116902799258135,0.288554549217224,0.202728674237679
giggle,0.114233472244623,0.637565910816193,0.375899691530408
canary,0.11307275110776,0.422954797744751,0.268013774426255
politics,0.110079117361979,0.594754040241241,0.35241657880161
bark,0.106527863630901,0.527626752853394,0.317077308242147
beep,0.09864891605271,0.572291672229767,0.335470294141238
request,0.095340259521476,0.690820157527924,0.3930802085247
typewriter,0.082547965441927,0.559778034687042,0.321163000064484
language,0.082389212319863,0.660496115684509,0.371442664002186
no,0.080725609961468,0.746611416339874,0.413668513150671
rattlesnake,0.071156683766432,0.29232394695282,0.181740315359626
profanity,0.068532300663734,0.557514488697052,0.313023394680393
sitcom,0.06795463816824,0.66879153251648,0.36837308534236
snap,0.066359378768424,0.581305742263794,0.323832560516109
mandolin,0.065658760260295,0.271567940711975,0.168613350486135
crunch,0.062219232974363,0.63808810710907,0.350153670041716
ridicule,0.061237169252751,0.69370698928833,0.377472079270541
announcer,0.061192938049512,0.772679448127747,0.416936193088629
excitement,0.059559265308166,0.446281015872955,0.252920140590561
greeting,0.059366152945325,0.718907833099365,0.389136993022345
dogs,0.058127961166819,0.420187711715698,0.239157836441258
helicopter,0.057586897703983,0.430448412895203,0.244017655299593
cluck,0.054521140775835,0.531023502349854,0.292772321562844
expletive,0.054200821293926,0.565648138523102,0.309924479908514
nonsense,0.049333808683661,0.412948340177536,0.231141074430599
thudding,0.048119452512945,0.484055072069168,0.266087262291057
slurp,0.042428749597895,0.66122967004776,0.351829209822828
argument,0.041273117559584,0.641757428646088,0.341515273102836
tale,0.039502846780857,0.298032462596893,0.168767654688875
cassette,0.035059546386384,0.652017533779144,0.343538540082764
command,0.031762750757134,0.46008226275444,0.245922506755787
fighting,0.030966855474127,0.644460380077362,0.337713617775744
comedy,0.030603883055671,0.52747768163681,0.27904078234624
ding,0.029269666618702,0.538788318634033,0.284028992626368
babble,0.02894949757577,0.583586513996124,0.306268005785947
tapping,0.027838207159718,0.520623028278351,0.274230617719034
story,0.027088352457835,0.177554339170456,0.102321345814145
vocal,0.024657034907824,0.749236762523651,0.386946898715737
shush,0.020682107701769,0.733781695365906,0.377231901533838
drum,0.019583770155593,0.400917261838913,0.210250515997253
amplifier,0.019402867071536,0.518711566925049,0.269057216998292
answer,0.015098932137737,0.592605590820313,0.303852261479025
festive,0.012787332241924,0.420713037252426,0.216750184747175
sighing,0.012716680106021,0.664188027381897,0.338452353743959
hiss,0.012477809375377,0.607625544071198,0.310051676723287
hound,0.011447701704387,0.430727362632751,0.221087532168569
female,0.011416002480301,0.666990399360657,0.339203200920479
auditory,0.010244617724337,0.75255697965622,0.381400798690278
whispering,0.008895942289641,0.62671172618866,0.31780383423915
cowbell,0.008195476186641,0.475038170814514,0.241616823500577
warn,0.007327763844903,0.575012445449829,0.291170104647366
slam,0.006291189588041,0.596917748451233,0.301604469019637
person,0.00558856245357,0.542846620082855,0.274217591268213
intercom,0.003874739715756,0.523859143257141,0.263866941486449
chuckle,0.003842759444363,0.731793463230133,0.367818111337248
jingling,0.002616020504037,0.528412699699402,0.265514360101719
humorous,-0.000180511685073,0.601893067359924,0.300856277837426
interview,-0.001047092208457,0.572406530380249,0.285679719085896
chat,-0.001891259447131,0.672376930713654,0.335242835633261
rhythmic,-0.004251263636352,0.507884681224823,0.251816708794236
communicate,-0.004290055574312,0.53369265794754,0.264701301186614
me,-0.004933421777655,0.616723656654358,0.305895117438352
gun,-0.009188001422918,0.55011785030365,0.270464924440366
recording,-0.011305646723474,0.51665073633194,0.252672544804233
cuss,-0.011369804201224,0.342637181282043,0.16563368854041
whistling,-0.011429724061878,0.450688004493713,0.219629140215918
voice,-0.013117041259804,0.69863349199295,0.342758225366573
beat,-0.013944252380556,0.418475776910782,0.202265762265113
knock,-0.016009955887715,0.57530665397644,0.279648349044363
rattle,-0.016169696832062,0.620948255062103,0.302389279115021
talking,-0.018857687690728,0.666043877601624,0.323593094955448
real,-0.019399347777798,0.53710412979126,0.258852391006731
silly,-0.019537545033255,0.627854704856873,0.304158579911809
whisper,-0.021679809632418,0.600524485111237,0.289422337739409
silence,-0.022090106477185,0.500484168529511,0.239197031026163
bell,-0.022715133722606,0.492951542139053,0.235118204208223
shooting,-0.022848124234049,0.52790105342865,0.2525264645973
laughter,-0.024387738008531,0.623181164264679,0.299396713128074
