w,i_vggish,i_spectrum,i_speechvgg,mark_speechvgg,mark_vggish,mark_spectrum,ico_2017,ico_2022,length,iconicity_mean,humor,sensory,sensory_sound,sensory_d2,conc,freq,cd,aoa
announcer,0.7722266912460327,0.5680093169212341,0.0363831931418814,0.3120249666337843,0.85888547,0.8167233,1.0,3.727272727272727,9,0.4588730671030494,,,4.25,,4.52,2.7597,201,6.85
media,0.7683420181274414,-0.4974877536296844,-0.0171812092546994,0.3730721469525357,0.8086695,0.8530098,,2.8,5,0.0845576850810192,,,4.242,,3.57,3.0561,852,
mumble,0.7584492564201355,0.4018525779247284,-0.0985112343478109,0.36193863502360485,0.84317565,0.81910723,3.466666667,5.090909090909091,6,0.35393019999901765,,,3.895,3.55,3.69,1.6128,34,7.15
vocal,0.7577915191650391,-0.1903852224349975,0.1557418766184644,0.40097612058691834,0.89155185,0.8502983,,3.272727272727273,5,0.24104939111616863,2.342857143,,4.65,,2.93,2.1818,114,8.0
speech,0.7562985420227051,0.2349487394094467,0.1757936439886469,0.23411684309721592,0.8287396,0.79355484,,,6,0.38901364180693293,1.941176471,,4.15,2.64,3.37,3.288,1090,6.22
man,0.7561697959899902,-0.0581856928765773,-0.0733800629474305,0.27834990315770797,0.87731135,0.7767992,0.647058824,3.9166666666666665,3,0.20820134672199417,2.095238095,,3.647,4.09,4.79,4.9737,8054,3.11
monologue,0.7490854859352112,-0.243940383195877,0.1045460084587153,0.3297750002474668,0.7982475,0.8210295,,4.4,9,0.2032303703993498,,,4.722,,3.3,1.7709,37,12.59
auditory,0.7411046028137207,0.3567555546760559,0.0409937068441845,0.3333908642931754,0.85598445,0.83519894,,4.4,8,0.37961795477798704,,,3.762,,3.07,1.4472,25,12.79
snoring,0.7378384470939636,-0.1944877207279205,-0.1764561809930885,0.30080331113278774,0.8758895,0.8531229,,,7,0.12229818179098488,,,4.737,,4.18,2.1703,112,
question,0.7367612719535828,0.5554212331771851,-0.1862781673299567,0.2655810221003615,0.86683357,0.8502043,0.416666667,3.5,8,0.36863477926693705,2.392857143,,3.824,3.0,3.36,4.0051,4587,6.16
yes,0.7349108457565308,0.2509249448776245,0.1378374717030083,0.17570549750017567,0.86069,0.83951914,2.25,,3,0.3745577541123879,,,4.222,1.7,2.14,5.0079,8140,2.31
shush,0.7337816953659058,-0.2586979568004608,0.0361589321939235,0.3159921724301145,0.78599244,0.83433664,,5.7,5,0.17041422358645616,,,3.944,3.36,3.52,2.1335,95,5.75
