w,i
announcer,0.7722266912460327
media,0.7683420181274414
mumble,0.7584492564201355
vocal,0.7577915191650391
speech,0.7562985420227051
man,0.7561697959899902
monologue,0.7490854859352112
auditory,0.7411046028137207
snoring,0.7378384470939636
question,0.7367612719535828
yes,0.7349108457565308
shush,0.7337816953659058
swear,0.7335016131401062
chuckle,0.7317492365837097
click,0.7315646409988403
speak,0.728285014629364
greeting,0.725311279296875
gasping,0.7202082872390747
cough,0.7059009671211243
voice,0.704923152923584
burp,0.7032981514930725
grunt,0.7022188305854797
apology,0.6894475817680359
gasp,0.6846702694892883
quiet,0.6823941469192505
sob,0.6811166405677795
human,0.6805382370948792
speaking,0.6783003211021423
request,0.6771776080131531
talking,0.6758309602737427
argue,0.6754904985427856
language,0.671363353729248
female,0.670929491519928
talk,0.668346643447876
ticking,0.6659596562385559
woman,0.6646946668624878
sighing,0.6646574139595032
slurp,0.6616523861885071
bang,0.6616471409797668
phone,0.6590854525566101
dialogue,0.6588227152824402
lie,0.6583475470542908
sitcom,0.6562079787254333
laugh,0.6549050807952881
frog,0.6532289981842041
fighting,0.6521644592285156
cassette,0.651955246925354
sneeze,0.6511777639389038
monotone,0.6511436700820923
recorder,0.6497181057929993
clunk,0.6495808959007263
yell,0.646902859210968
crunch,0.6462349891662598
unintelligible,0.6450704336166382
spoken,0.6444005966186523
actor,0.6427395939826965
roar,0.6395776271820068
ridicule,0.6377392411231995
giggle,0.6376118659973145
loudly,0.636660635471344
roaring,0.6329428553581238
drip,0.6327283382415771
silly,0.6316383481025696
poetry,0.6314465999603271
slam,0.6310531497001648
mock,0.6303696632385254
argument,0.6293044090270996
funny,0.6289867758750916
rude,0.6289618611335754
whispering,0.6267179250717163
laughter,0.6253983378410339
sigh,0.6236697435379028
groan,0.6223145723342896
rattle,0.6208869218826294
moan,0.6203068494796753
cry,0.6133454442024231
quack,0.6117073893547058
television,0.6114203333854675
laughing,0.6093680262565613
whine,0.6090943217277527
meow,0.6085257530212402
whir,0.6082915663719177
poem,0.6080945134162903
hiss,0.6076968312263489
growl,0.6067338585853577
buzz,0.6066136360168457
whisper,0.603699266910553
drill,0.6028761863708496
creature,0.6005072593688965
chant,0.6001856327056885
ringing,0.5949308276176453
insult,0.5949225425720215
politics,0.5947540402412415
saying,0.5945549607276917
word,0.5930453538894653
hum,0.5911976099014282
