,w,i
40,hiss,0.9981998009864531
115,squeaky,0.9980696263521642
289,drill,0.9979711977008471
92,clap,0.9979656293385929
13,ding,0.9979157384233255
161,tenor,0.9978687114595625
29,groan,0.9977933293984744
315,frog,0.9977414408128865
322,sizzle,0.997738498784334
114,thud,0.9977244921024531
325,rhythm,0.997720651670955
184,shout,0.99766937950541
138,funny,0.9976656944892529
314,echo,0.9976499068998865
7,drip,0.9975491515787561
31,woman,0.9975331212265757
361,motor,0.9974923592943848
242,talk,0.9974757684853187
306,drum,0.9973999542537337
146,bird,0.9973954151188928
79,giggle,0.9973839328109373
283,musical,0.9973782327762862
98,chime,0.9973750174445809
71,laugh,0.9973622762323314
28,thunderclap,0.9973584046567415
346,train,0.997348251255457
327,baby,0.9973403074000305
281,grunt,0.9973300251403071
234,crowd,0.9973089604638459
41,noise,0.9973025716063243
140,knock,0.9972838786857919
352,drilling,0.9972670706919098
151,concert,0.9972651981984503
263,burp,0.9972494958637733
113,shooting,0.9972359715897602
133,snap,0.9972306337318734
309,roaring,0.9972300290815048
344,polite,0.9972015162257385
235,album,0.9971915681189073
261,slurp,0.9971756232539497
61,automotive,0.9971608287544859
189,techno,0.9971560891299794
324,cry,0.9971170108645433
43,cheers,0.9971075817899998
231,gasp,0.9970815815706782
299,cough,0.9970728230578609
156,gurgle,0.9970671476424163
3,flute,0.9970555117568372
119,dog,0.9970430088048793
328,human,0.9970403351633536
23,cartoon,0.9970274011395995
125,talking,0.9970259167080101
198,joke,0.9969940896143
34,rustling,0.9969903455163185
57,drummer,0.9969821678272377
188,chord,0.9969792104669616
292,donkey,0.9969777805052278
258,noisy,0.9969749489076157
310,snoring,0.9969621748724844
160,language,0.9969534337333138
162,buzz,0.9969380838000966
44,horn,0.9969309215896072
14,sound,0.9969269128187753
111,circus,0.9969087232324081
154,trumpet,0.9969071755928801
117,excitement,0.9969046286010642
108,speech,0.996894287879567
32,doorbell,0.9968798548641965
102,sneeze,0.9968447320823638
207,bang,0.9968390876928527
69,pop,0.996833091149378
350,stereo,0.9968220989034041
215,alarm,0.996817394886524
347,instrument,0.9968152169789115
233,percussive,0.9968126462925785
222,beg,0.99678387284965
42,clarinet,0.9967585067412851
0,humor,0.9967407179895398
367,engine,0.9967115530871192
49,jet,0.9966922783716629
227,creaky,0.9966851564344471
282,cluck,0.996647537147319
186,song,0.9966423370599079
336,beep,0.996639502954549
148,outside,0.9966358620141084
212,cannon,0.9966152566581672
109,owl,0.9966101185340751
62,amen,0.9966044082996214
164,humming,0.9966036082607314
321,harmonic,0.996588868546263
45,shush,0.9965566052088206
250,hum,0.9965536603326587
262,whistling,0.9965365212569157
135,saying,0.9965364417316146
277,arcade,0.9965100877482129
66,gun,0.9965070725865764
77,audio,0.9965060644597645
300,growling,0.996501897473152
271,moaning,0.9964956461445958
187,people,0.9964888769748759
308,children,0.9964868403704934
177,city,0.9964867043308209
25,instrumental,0.9964711114071217
305,barking,0.9964669758959929
205,percussion,0.9964583675003587
27,dogs,0.9964567435340071
73,quack,0.9964551136467172
203,sing,0.996452733671864
330,cymbal,0.9964166613014566
141,poem,0.9964097779780994
228,party,0.9964015808664091
356,music,0.9963832071062723
335,gasping,0.9963698790404096
179,mock,0.9963601858621542
88,sighing,0.9963556255287169
86,knocking,0.9963552017866718
50,speaking,0.9963489908378889
238,speak,0.9963300203848781
24,greeting,0.9963300174019701
273,amplifier,0.9963287411361588
56,cheering,0.996296531832293
106,yell,0.9962944914122818
37,lesson,0.9962804610948712
214,symphony,0.9962726139573473
129,recording,0.9962679307548217
67,laughter,0.9962570929573513
244,cheer,0.9962498798654519
348,jingling,0.9962310423681956
338,news,0.9962262814219419
55,bark,0.9962130588303155
224,explosion,0.9962058738821848
221,singing,0.9962011366194501
104,rap,0.9962000899524174
303,ambulance,0.9961956333404784
194,rattling,0.9961931093655797
12,chant,0.9961784811564808
249,fireworks,0.9961775193750375
351,audience,0.9961760341744484
137,phone,0.9961636295125207
200,guitar,0.9961276536644931
340,feedback,0.996118161271784
22,disturbance,0.9961152030591267
359,radio,0.996092029160579
192,snore,0.996086317382871
155,applause,0.9960788983797637
208,screaming,0.9960717949932255
163,siren,0.9960706658493114
280,acoustic,0.9960613781852103
239,choir,0.9960602414487975
201,bell,0.9960460875185457
295,silly,0.9960457998317207
275,bleating,0.9960402466964478
286,typewriter,0.9960374415512053
232,creature,0.9960309650869058
355,chuckle,0.9960308451173594
36,quiet,0.996022462180508
196,interview,0.9960187214190602
136,melodic,0.9960069446715968
64,rude,0.9959944789725405
15,screeching,0.9959872577826002
54,windy,0.9959780230935231
339,cracking,0.9959562193477826
